nome,prezzo
TRIPPA,7
CASONCELLI BERGAMA,8
RAVIOLI SPECK,8
GALLINA RIP. E POL,8
GALLINA INTERA,30
SPALLA CON POLENTA,8
SPALLA CON PANE,8
PORCHETTA E POLENT,7
PORCHETTA CON PANE,7
CAPU CON POLENTA,8
CAPU CON PANE,8
STRINU CON POLENTA,6
STRINU NEL PANE,6
FORMAGGIO E POLENT,6
FORMAGGIO CON PANE,6
PATATINE,3
VINO CALICE,1.5
VINO BOTTIGLIA,8
BIRRA ALLA SPINA,4
ACQUA FRIZANTE 0.5,1
ACQUA NATURALE 0.5,1
ACQUA NATURALE 1.5,2
ACQUA FRIZZANT 1.5,2
BIBITE LATTINA,2.5
DOLCE,3
GRAPPE  AMARI ECC.,4
